timestamp,open_BTCUSDT,high_BTCUSDT,low_BTCUSDT,close_BTCUSDT,volume_BTCUSDT,close_LTCUSDT,volume_LTCUSDT,close_ETHUSDT,volume_ETHUSDT
2020-07-30 00:00:00,11100.52,11118.0,10970.19,11115.12,3235.006708,55.42,56599.75825,319.25,32891.89938
2020-07-30 01:00:00,11115.12,11121.5,11040.0,11047.75,1506.26344,54.95,19606.2495,316.43,20090.3731
2020-07-30 02:00:00,11047.8,11095.0,10937.0,10977.09,2870.926552,54.51,17921.1835,315.77,34141.48008
2020-07-30 03:00:00,10977.78,11048.45,10952.19,10983.56,2280.054718,54.67,15086.9465,316.1,25977.59857
2020-07-30 04:00:00,10983.56,11045.0,10968.7,11025.67,1505.091466,54.95,14589.77508,317.29,21269.76047
2020-07-30 05:00:00,11025.86,11035.0,10961.03,10989.8,2012.500577,54.44,21527.49237,316.52,17573.53749
2020-07-30 06:00:00,10989.81,11025.0,10916.07,11000.01,3356.978898,54.86,48390.6659,319.2,39480.44319
2020-07-30 07:00:00,11000.0,11001.0,10893.3,10941.64,3591.294057,54.53,23884.06778,318.99,34924.84439
2020-07-30 08:00:00,10941.64,11010.31,10930.07,11007.38,2362.588534,54.96,40215.48657,319.55,23833.07292
2020-07-30 09:00:00,11007.38,11007.38,10945.0,10984.28,1698.7100239999993,54.96,15715.4203,318.88,16674.407519999993
2020-07-30 10:00:00,10984.28,10984.28,10913.12,10939.42,2206.164591,54.56,11756.88985,317.44,19205.53796
2020-07-30 11:00:00,10939.49,10949.0,10887.28,10926.03,2350.638676,54.53,13982.47166,317.85,20363.09053
2020-07-30 12:00:00,10925.82,10985.0,10921.61,10932.71,2354.430711,54.79,28576.397510000006,317.26,24498.91504
2020-07-30 13:00:00,10932.72,11040.01,10831.0,11022.27,4932.359319,56.64,113839.30214,318.7,47895.9541
2020-07-30 14:00:00,11022.27,11022.27,10950.0,10967.11,2710.303253,56.78,117478.91635,317.56,31366.03187
2020-07-30 15:00:00,10967.11,11017.1,10962.55,11010.73,1880.716557,57.57,58617.57354,319.21,25298.76383
2020-07-30 16:00:00,11010.73,11033.0,10971.48,11016.02,2635.935916,56.94,157155.8167,322.3,48866.06986
2020-07-30 17:00:00,11016.05,11048.0,10993.26,11041.47,2540.462084,56.69,44369.47409,324.65,70714.53431
2020-07-30 18:00:00,11041.3,11093.68,11036.24,11089.7,3563.2512950000005,57.09,40231.44241,330.25,114591.46393
2020-07-30 19:00:00,11089.7,11136.0,11074.94,11116.82,3239.670386,57.03,19413.37222,333.25,117351.37007
2020-07-30 20:00:00,11116.82,11169.0,11115.61,11132.29,2689.344653,57.5,37726.8463,338.22,122357.85349
2020-07-30 21:00:00,11132.25,11160.0,11057.81,11078.05,1918.543924,57.11,28142.592060000006,335.35,43136.59998
2020-07-30 22:00:00,11077.83,11166.32,11077.82,11163.84,1404.284096,57.42,44530.02255,334.16,26706.00591
2020-07-30 23:00:00,11163.57,11170.0,11084.61,11099.61,1949.306021,56.75,34882.80496,334.87,29617.95899
2020-07-31 00:00:00,11099.79,11135.2,11027.0,11046.14,1802.202855,56.73,21812.3362,334.75,23188.10611
